model,benchmark,n_wait,n_samples,accuracy,avg_thinking_tokens,extraction_failures,acc_nw0,acc_nw2,bf_delta_pp
r1-distill-7B,vi_gsm8k,0,100,53.0,191.0,0,53.0,57.0,4.0
r1-distill-7B,vi_gsm8k,1,100,56.0,329.1,0,53.0,57.0,4.0
r1-distill-7B,vi_gsm8k,2,100,57.0,426.1,0,53.0,57.0,4.0
r1-distill-7B,vimmlu,0,100,27.0,539.8,0,27.0,31.0,4.0
r1-distill-7B,vimmlu,1,100,23.0,741.0,0,27.0,31.0,4.0
r1-distill-7B,vimmlu,2,100,31.0,870.6,0,27.0,31.0,4.0
r1-distill-7B,vnhsge,0,100,22.0,540.9,0,22.0,25.0,3.0
r1-distill-7B,vnhsge,1,100,21.0,676.3,0,22.0,25.0,3.0
r1-distill-7B,vnhsge,2,100,25.0,801.0,0,22.0,25.0,3.0
seallm-7b,vi_gsm8k,0,100,66.0,236.2,0,66.0,47.0,-19.0
seallm-7b,vi_gsm8k,1,100,50.0,501.9,0,66.0,47.0,-19.0
seallm-7b,vi_gsm8k,2,100,47.0,734.4,0,66.0,47.0,-19.0
seallm-7b,vimmlu,0,100,46.0,112.4,0,46.0,56.0,10.0
seallm-7b,vimmlu,1,100,52.0,283.8,0,46.0,56.0,10.0
seallm-7b,vimmlu,2,100,56.0,341.4,0,46.0,56.0,10.0
seallm-7b,vnhsge,0,100,47.0,132.9,0,47.0,53.0,6.0
seallm-7b,vnhsge,1,100,51.0,244.9,0,47.0,53.0,6.0
seallm-7b,vnhsge,2,100,53.0,273.4,0,47.0,53.0,6.0
vinallama-7b,vi_gsm8k,0,100,25.0,189.2,0,25.0,16.0,-9.0
vinallama-7b,vi_gsm8k,1,100,20.0,344.4,0,25.0,16.0,-9.0
vinallama-7b,vi_gsm8k,2,100,16.0,538.0,0,25.0,16.0,-9.0
vinallama-7b,vimmlu,0,100,34.0,189.5,0,34.0,21.0,-13.0
vinallama-7b,vimmlu,1,100,19.0,355.8,0,34.0,21.0,-13.0
vinallama-7b,vimmlu,2,100,21.0,523.5,0,34.0,21.0,-13.0
vinallama-7b,vnhsge,0,100,28.0,133.0,0,28.0,23.0,-5.0
vinallama-7b,vnhsge,1,100,25.0,335.8,0,28.0,23.0,-5.0
vinallama-7b,vnhsge,2,100,23.0,607.2,0,28.0,23.0,-5.0
vistral-7b,vi_gsm8k,0,100,56.0,229.2,0,56.0,51.0,-5.0
vistral-7b,vi_gsm8k,1,100,51.0,268.9,0,56.0,51.0,-5.0
vistral-7b,vi_gsm8k,2,100,51.0,323.8,0,56.0,51.0,-5.0
vistral-7b,vimmlu,0,100,39.0,130.2,0,39.0,13.0,-26.0
vistral-7b,vimmlu,1,100,13.0,208.7,0,39.0,13.0,-26.0
vistral-7b,vimmlu,2,100,13.0,724.9,0,39.0,13.0,-26.0
vistral-7b,vnhsge,0,100,48.0,50.5,0,48.0,15.0,-33.0
vistral-7b,vnhsge,1,100,16.0,158.8,0,48.0,15.0,-33.0
vistral-7b,vnhsge,2,100,15.0,906.8,0,48.0,15.0,-33.0
greenmind-14b-r1,vi_gsm8k,0,100,80.0,199.4,0,80.0,55.0,-25.0
greenmind-14b-r1,vi_gsm8k,1,100,51.0,145.9,0,80.0,55.0,-25.0
greenmind-14b-r1,vi_gsm8k,2,100,55.0,165.3,0,80.0,55.0,-25.0
greenmind-14b-r1,vimmlu,0,100,55.0,136.5,0,55.0,45.0,-10.0
greenmind-14b-r1,vimmlu,1,100,48.0,159.1,0,55.0,45.0,-10.0
greenmind-14b-r1,vimmlu,2,100,45.0,153.5,0,55.0,45.0,-10.0
greenmind-14b-r1,vnhsge,0,100,52.0,159.1,0,52.0,49.0,-3.0
greenmind-14b-r1,vnhsge,1,100,47.0,159.0,0,52.0,49.0,-3.0
greenmind-14b-r1,vnhsge,2,100,49.0,144.2,0,52.0,49.0,-3.0
